Time[s], Channel 0, Channel 1
0.000000000000000, 0, 0
0.935841958333333, 1, 1
0.948298666666667, 0, 1
0.948370000000000, 1, 1
0.953458833333333, 1, 0
0.953596791666667, 1, 1
0.998453625000000, 0, 1
0.998833916666667, 1, 1
0.998871958333333, 0, 1
0.999252333333333, 1, 1
0.999290333333333, 0, 1
0.999670666666667, 1, 1
0.999708708333333, 0, 1
1.000089000000000, 1, 1
1.000127041666667, 0, 1
1.000203083333333, 1, 1
1.000241125000000, 0, 1
1.000279166666667, 1, 1
1.000317208333333, 0, 1
1.000355208333333, 1, 1
1.000393250000000, 0, 1
1.000431291666667, 1, 1
1.000469333333333, 0, 1
1.000507333333333, 1, 1
1.000621416666667, 0, 1
1.000963708333333, 1, 1
1.001153875000000, 0, 1
1.001267958333333, 1, 1
1.001305958333333, 0, 1
1.001420083333333, 1, 1
1.001458125000000, 0, 1
1.001534166666667, 1, 1
1.001648250000000, 0, 1
1.001762375000000, 1, 1
1.001990541666667, 0, 1
1.002028583333333, 1, 1
1.002142666666667, 0, 1
1.002256791666667, 1, 1
1.002294791666667, 0, 1
1.002408916666667, 1, 1
1.002446916666667, 0, 1
1.002523000000000, 1, 1
1.002675125000000, 0, 1
1.002789208333333, 1, 1
1.003017416666667, 0, 1
1.003055458333333, 1, 1
1.003169583333333, 0, 1
1.003245625000000, 1, 1
1.003283666666667, 0, 1
1.003321708333333, 1, 1
1.003359750000000, 0, 1
1.003397750000000, 1, 1
1.003435791666667, 0, 1
1.003473833333333, 1, 1
1.003511875000000, 0, 1
1.003549875000000, 1, 1
1.003702041666667, 0, 1
1.004044333333333, 1, 1
1.004196458333333, 0, 1
1.004310541666667, 1, 1
1.004348583333333, 0, 1
1.004462708333333, 1, 1
1.004500750000000, 0, 1
1.004576791666667, 1, 1
1.004728958333333, 0, 1
1.004843041666667, 1, 1
1.005071250000000, 0, 1
1.005109291666667, 1, 1
1.005223416666667, 0, 1
1.005337500000000, 1, 1
1.005375541666667, 0, 1
1.005489625000000, 1, 1
1.005527666666667, 0, 1
1.005603750000000, 1, 1
1.005755875000000, 0, 1
1.005869958333333, 1, 1
1.006098166666667, 0, 1
1.006136208333333, 1, 1
1.006250291666667, 0, 1
1.006326333333333, 1, 1
1.006364375000000, 0, 1
1.006402416666667, 1, 1
1.006440416666667, 0, 1
1.006478458333333, 1, 1
1.006516500000000, 0, 1
1.006554541666667, 1, 1
1.006592541666667, 0, 1
1.006630583333333, 1, 1
1.007010916666667, 0, 1
1.007353208333333, 1, 1
1.007429291666667, 0, 1
1.007467333333333, 1, 1
1.007619458333333, 0, 1
1.007695500000000, 1, 1
1.007733541666667, 0, 1
1.007809625000000, 1, 1
1.007847625000000, 0, 1
1.007961708333333, 1, 1
1.008189916666667, 0, 1
1.008227958333333, 1, 1
1.008304000000000, 0, 1
1.008342041666667, 1, 1
1.008494166666667, 0, 1
1.008570250000000, 1, 1
1.008608250000000, 0, 1
1.008684333333333, 1, 1
1.008836458333333, 0, 1
1.008950541666667, 1, 1
1.009178708333333, 0, 1
1.009216750000000, 1, 1
1.009330833333333, 0, 1
1.009406916666667, 1, 1
1.009444958333333, 0, 1
1.009482958333333, 1, 1
1.009521000000000, 0, 1
1.009559041666667, 1, 1
1.009597083333333, 0, 1
1.009635083333333, 1, 1
1.009673125000000, 0, 1
1.009711166666667, 1, 1
1.009863291666667, 0, 1
1.010205625000000, 1, 1
1.010357750000000, 0, 1
1.010395791666667, 1, 1
1.010547916666667, 0, 1
1.010623958333333, 1, 1
1.010662000000000, 0, 1
1.010738083333333, 1, 1
1.010890208333333, 0, 1
1.011004291666667, 1, 1
1.011232500000000, 0, 1
1.011270541666667, 1, 1
1.011384625000000, 0, 1
1.011422666666667, 1, 1
1.011574791666667, 0, 1
1.011650833333333, 1, 1
1.011688875000000, 0, 1
1.011764958333333, 1, 1
1.011879041666667, 0, 1
1.011993166666667, 1, 1
1.012221333333333, 0, 1
1.012259375000000, 1, 1
1.012411541666667, 0, 1
1.012487583333333, 1, 1
1.012525625000000, 0, 1
1.012563666666667, 1, 1
1.012601708333333, 0, 1
1.012639750000000, 1, 1
1.012677791666667, 0, 1
1.012715791666667, 1, 1
1.012753833333333, 0, 1
1.012791875000000, 1, 1
1.012905958333333, 0, 1
1.013248291666667, 1, 1
1.013666625000000, 0, 1
1.013742708333333, 1, 1
1.013780750000000, 0, 1
1.013818791666667, 1, 1
1.013894833333333, 0, 1
1.013932875000000, 1, 1
1.013970916666667, 0, 1
1.014046958333333, 1, 1
1.014085000000000, 0, 1
1.014199083333333, 1, 1
1.014427291666667, 0, 1
1.014465333333333, 1, 1
1.014503375000000, 0, 1
1.014579458333333, 1, 1
1.014617458333333, 0, 1
1.014655500000000, 1, 1
1.014731583333333, 0, 1
1.014769625000000, 1, 1
1.014807625000000, 0, 1
1.014883708333333, 1, 1
1.014959791666667, 0, 1
1.015073916666667, 1, 1
1.015302083333333, 0, 1
1.015340125000000, 1, 1
1.015492250000000, 0, 1
1.015568333333333, 1, 1
1.015606375000000, 0, 1
1.015644416666667, 1, 1
1.015682458333333, 0, 1
1.015720500000000, 1, 1
1.015758500000000, 0, 1
1.015796541666667, 1, 1
1.015834583333333, 0, 1
1.015872625000000, 1, 1
1.015986708333333, 0, 1
1.016329041666667, 1, 1
1.016519208333333, 0, 1
1.016747416666667, 1, 1
1.016823458333333, 0, 1
1.016899541666667, 1, 1
1.017013625000000, 0, 1
1.017127708333333, 1, 1
1.017355916666667, 0, 1
1.017393916666667, 1, 1
1.017546083333333, 0, 1
1.017774291666667, 1, 1
1.017850333333333, 0, 1
1.017926416666667, 1, 1
1.018040500000000, 0, 1
1.018154625000000, 1, 1
1.018382833333333, 0, 1
1.018420875000000, 1, 1
1.018573041666667, 0, 1
1.018649083333333, 1, 1
1.018687125000000, 0, 1
1.018725166666667, 1, 1
1.018763208333333, 0, 1
1.018801250000000, 1, 1
1.018839291666667, 0, 1
1.018877333333333, 1, 1
1.018915333333333, 0, 1
1.018953375000000, 1, 1
1.019067500000000, 0, 1
1.019409833333333, 1, 1
1.019600000000000, 0, 1
